"學名 Scientific Name","Common Name","中文名稱","Phylum","門","Class","綱","Order","目","Family","科","Checklist","名錄"
"Paramesotriton hongkongensis","Hong Kong Newt","香港瘰螈","Chordata","脊索動物門","Amphibia","兩棲綱","Caudata","有尾目","Salamandridae","蠑螈科","Amphibians","兩棲動物"
"Duttaphrynus melanostictus","Asian Common Toad","黑眶蟾蜍","Chordata","脊索動物門","Amphibia","兩棲綱","Anura","無尾目","Bufonidae","蟾蜍科","Amphibians","兩棲動物"
"Eleutherodactylus planirostris","Greenhouse Frog","溫室蟾","Chordata","脊索動物門","Amphibia","兩棲綱","Anura","無尾目","Eleutherodactylidae","卵齒蟾科","Amphibians","兩棲動物"
"Leptobrachella laui","Lau's Leaf-litter Toad","劉氏掌突蟾","Chordata","脊索動物門","Amphibia","兩棲綱","Anura","無尾目","Megophryidae","角蟾科","Amphibians","兩棲動物"
"Megophrys brachykolos","Short-legged Toad","短腳角蟾","Chordata","脊索動物門","Amphibia","兩棲綱","Anura","無尾目","Megophryidae","角蟾科","Amphibians","兩棲動物"
"Kalophrynus interlineatus","Spotted Narrow-mouthed Frog","花細狹口蛙","Chordata","脊索動物門","Amphibia","兩棲綱","Anura","無尾目","Microhylidae","狹口蛙科","Amphibians","兩棲動物"
"Kaloula pulchra","Asiatic Painted Frog","花狹口蛙","Chordata","脊索動物門","Amphibia","兩棲綱","Anura","無尾目","Microhylidae","狹口蛙科","Amphibians","兩棲動物"
"Microhyla butleri","Butler's Pigmy Frog","粗皮姬蛙","Chordata","脊索動物門","Amphibia","兩棲綱","Anura","無尾目","Microhylidae","狹口蛙科","Amphibians","兩棲動物"
"Microhyla fissipes","Ornate Pigmy Frog","飾紋姬蛙","Chordata","脊索動物門","Amphibia","兩棲綱","Anura","無尾目","Microhylidae","狹口蛙科","Amphibians","兩棲動物"
"Microhyla pulchra","Marbled Pigmy Frog","花姬蛙","Chordata","脊索動物門","Amphibia","兩棲綱","Anura","無尾目","Microhylidae","狹口蛙科","Amphibians","兩棲動物"
"Fejervarya limnocharis","Paddy Frog","澤蛙","Chordata","脊索動物門","Amphibia","兩棲綱","Anura","無尾目","Dicroglossidae","叉舌蛙科","Amphibians","兩棲動物"
"Hoplobatrachus rugulosus","Chinese Bullfrog","虎紋蛙","Chordata","脊索動物門","Amphibia","兩棲綱","Anura","無尾目","Dicroglossidae","叉舌蛙科","Amphibians","兩棲動物"
"Limnonectes fujianensis","Big-headed Frog","大頭蛙","Chordata","脊索動物門","Amphibia","兩棲綱","Anura","無尾目","Dicroglossidae","叉舌蛙科","Amphibians","兩棲動物"
"Occidozyga lima","Rough-skinned Floating Frog","尖舌浮蛙","Chordata","脊索動物門","Amphibia","兩棲綱","Anura","無尾目","Dicroglossidae","叉舌蛙科","Amphibians","兩棲動物"
"Quasipaa exilispinosa","Lesser Spiny Frog","小棘蛙","Chordata","脊索動物門","Amphibia","兩棲綱","Anura","無尾目","Dicroglossidae","叉舌蛙科","Amphibians","兩棲動物"
"Quasipaa spinosa","Giant Spiny Frog","棘胸蛙","Chordata","脊索動物門","Amphibia","兩棲綱","Anura","無尾目","Dicroglossidae","叉舌蛙科","Amphibians","兩棲動物"
